model,attribute,group,n,default_rate,decline_rate,auc,brier,mean_predicted,calibration_gap,fpr_good_declined,fnr_bad_approved
Expert scorecard (unfitted),Sector,Other Services,26410,0.3647,0.2076,0.5383,,,,0.1918,0.7649
Expert scorecard (unfitted),Sector,Professional/Scientific,30217,0.3284,0.1689,0.5272,,,,0.1522,0.7969
Expert scorecard (unfitted),Sector,Public Admin,67,0.3433,0.2388,,,,,0.1591,0.6087
Expert scorecard (unfitted),Sector,Real Estate,6811,0.4594,0.137,0.4996,,,,0.1453,0.8728
Expert scorecard (unfitted),Sector,Retail Trade,48338,0.3976,0.2421,0.5443,,,,0.2118,0.7121
Expert scorecard (unfitted),Sector,Transportation,13032,0.3662,0.1713,0.5466,,,,0.1616,0.812
Expert scorecard (unfitted),Sector,Utilities,247,0.2955,0.1822,,,,,0.1897,0.8356
Expert scorecard (unfitted),Sector,Wholesale Trade,18018,0.3832,0.1605,0.4369,,,,0.1783,0.8684
Expert scorecard (unfitted),Facility size,Largest 25%,68852,0.2949,0.2795,0.4955,,,,0.2825,0.7278
Expert scorecard (unfitted),Facility size,Lower-mid,64421,0.4076,0.1387,0.5607,,,,0.1185,0.8321
Expert scorecard (unfitted),Facility size,Smallest 25%,73333,0.3655,0.245,0.601,,,,0.1812,0.6443
Expert scorecard (unfitted),Facility size,Upper-mid,68881,0.3704,0.1333,0.4874,,,,0.1515,0.8977
